message,user,date
"just a bag of L's it seems
""
",platypus_dreaming,"2023-12-07 12:24:49,835"
Pivo,sathingtonw603,"2023-12-07 12:24:49,916"
drama mill leeches are poison,cas3_,"2023-12-07 12:24:50,889"
@ordergrowth I mean that only way to make world peace possible is if all world governments were on the page of peace without greed and corruption will that ever happen honestly I think not.,prokrassttinaytor,"2023-12-07 12:24:51,775"
i mean the clipchimps arent good faith,nayelispageti,"2023-12-07 12:24:52,620"
"@tiamani, doodlHey",doodlebirb,"2023-12-07 12:24:52,716"
wah,bizzk3t,"2023-12-07 12:24:52,838"
"Ignore that chatter, he's probably baiting you so he can clip it...
""
",uhvatilamehuja,"2023-12-07 12:24:53,824"
Clicks & Bait.,strumdogg,"2023-12-07 12:24:54,335"
"BetelJuice, I had 2 presentations today but I'm done, just took a shower and will settle down to nap at 4 Gladge
""
",yuubii__,"2023-12-07 12:24:55,513"
Drama proxy wars AintNoWay,yaystuffy,"2023-12-07 12:24:56,950"
KEKW ANCIENT MEMES,calculating_infinity,"2023-12-07 12:25:00,070"
just stop man,sathingtonw603,"2023-12-07 12:25:00,408"
YEP BINGO,n1naishere,"2023-12-07 12:25:00,888"
@DoodleBirb doodlPoint THATS A BIRB,veggietableh,"2023-12-07 12:25:01,606"
"birb i'm gonna post it Starjj
""
",beteljuice,"2023-12-07 12:25:01,634"
NODDERS,luscious_gandhi,"2023-12-07 12:25:01,738"
Concerned why do so many of you know who these shitters are,boatparade,"2023-12-07 12:25:03,655"
i pointed out turkey tom shitting on you in a yt video. posted that on twitter and got clapped @hasanabi,e1onmadetwitterfascist,"2023-12-07 12:25:04,781"
"@DoodleBirb, doodlPoint i see you",toxicsjw,"2023-12-07 12:25:04,812"
right,prole_radio,"2023-12-07 12:25:04,943"
centrist,luscious_gandhi,"2023-12-07 12:25:05,357"
YEP,xirodrigox,"2023-12-07 12:25:06,522"
EWWWW,luscious_gandhi,"2023-12-07 12:25:08,157"
"I need a @hasanbi iceberg explained, you got so many haters",guerilla_,"2023-12-07 12:25:09,287"
TurkeyTommy eh,dadepths,"2023-12-07 12:25:09,594"
"@hasanabi please stop explaining yourself to disingenuous assholes and just do you, that's what makes your stream amazing.
""
",apollonoir,"2023-12-07 12:25:10,618"
Pivo here we go chat,pockybandit,"2023-12-07 12:25:11,232"
Fuck those drama perverts touch grass instead,weakestoffliner,"2023-12-07 12:25:11,412"
Pivo fuck off drama pervs,aisleofcommunism,"2023-12-07 12:25:11,619"
ride the fence,sadiebaby222,"2023-12-07 12:25:12,154"
Der_Typ_Hier just subbed using Prime for 20 months! bleedPurple https://twitch.amazon.com/tp,fossabot,"2023-12-07 12:25:12,273"
"@gormorus thats the thing tho chatter if they can never show proof and only say it, theyre not a serious person. i respect that u come in here w honest intentions tho",enby_dee,"2023-12-07 12:25:12,666"
liberal coded,tiberiumausten,"2023-12-07 12:25:13,075"
pepeSpit,jazzkane,"2023-12-07 12:25:13,242"
I don’t understand you are a public transit advocate but stand with UAW make it me sense??,arabi1050,"2023-12-07 12:25:13,690"
"yo was it just me or did everything saw that disgusting comment left by a that chatter, saying he hopes….. not going to finish that gross comment what hell is wrong with people for real! what the hell! Thank you mods you all are GOATS! ckwanHEART ckwanHEART ckwanHEART",marcopaps8,"2023-12-07 12:25:13,719"
true,quikplayz,"2023-12-07 12:25:13,719"
